kommunId;kommun;totalBefolkning;forskningUtbildning;eftergymnasial3Plus;eftergymnasialMindre3;gymnasial3Ar;gymnasialHogst2Ar;grundskola;forgymnasial;kommunNormalized
114;Upplands Väsby;27334;0.28;0.17;0.23;0.18;0.08;0.03;0.04;upplands vasby
115;Vallentuna;18545;0.33;0.18;0.25;0.15;0.06;0.01;0.03;vallentuna
117;Österåker;25756;0.31;0.18;0.25;0.16;0.06;0.01;0.03;osteraker
120;Värmdö;24347;0.31;0.19;0.26;0.15;0.07;0.01;0.02;varmdo
123;Järfälla;48639;0.32;0.18;0.20;0.16;0.07;0.03;0.04;jarfalla
125;Ekerö;14374;0.35;0.18;0.21;0.14;0.06;0.01;0.04;ekero
126;Huddinge;62056;0.34;0.17;0.20;0.15;0.07;0.03;0.05;huddinge
127;Botkyrka;52231;0.23;0.16;0.19;0.20;0.10;0.06;0.06;botkyrka
128;Salem;8804;0.32;0.17;0.23;0.16;0.07;0.02;0.03;salem
136;Haninge;55335;0.22;0.16;0.26;0.19;0.10;0.03;0.05;haninge
138;Tyresö;25846;0.30;0.18;0.25;0.16;0.07;0.01;0.02;tyreso
139;UpplandsBro;17473;0.24;0.17;0.24;0.19;0.08;0.03;0.04;upplandsbro
140;Nykvarn;6453;0.25;0.15;0.28;0.18;0.10;0.01;0.02;nykvarn
160;Täby;39919;0.49;0.18;0.18;0.09;0.03;0.01;0.02;taby
162;Danderyd;15628;0.61;0.15;0.12;0.05;0.02;0.01;0.03;danderyd
163;Sollentuna;41655;0.45;0.17;0.17;0.12;0.05;0.02;0.04;sollentuna
180;Stockholm;579883;0.46;0.17;0.16;0.10;0.05;0.02;0.04;stockholm
181;Södertälje;56391;0.23;0.16;0.20;0.20;0.11;0.05;0.05;sodertalje
182;Nacka;59097;0.45;0.18;0.19;0.10;0.04;0.01;0.03;nacka
183;Sundbyberg;34799;0.41;0.18;0.17;0.12;0.06;0.02;0.04;sundbyberg
184;Solna;52316;0.52;0.16;0.14;0.08;0.04;0.01;0.05;solna
186;Lidingö;23918;0.50;0.18;0.16;0.08;0.04;0.01;0.03;lidingo
187;Vaxholm;5717;0.41;0.18;0.21;0.13;0.05;0.01;0.01;vaxholm
188;Norrtälje;32482;0.19;0.15;0.29;0.22;0.10;0.02;0.02;norrtalje
191;Sigtuna;28686;0.23;0.17;0.23;0.19;0.09;0.04;0.06;sigtuna
192;Nynäshamn;15645;0.19;0.15;0.27;0.22;0.10;0.02;0.04;nynashamn
305;Håbo;12006;0.21;0.16;0.30;0.20;0.10;0.01;0.03;habo
319;Älvkarleby;4734;0.18;0.13;0.30;0.25;0.11;0.02;0.01;alvkarleby
330;Knivsta;11104;0.39;0.16;0.23;0.13;0.06;0.01;0.02;knivsta
331;Heby;7067;0.16;0.12;0.32;0.24;0.11;0.02;0.02;heby
360;Tierp;10450;0.17;0.12;0.32;0.25;0.09;0.02;0.02;tierp
380;Uppsala;128890;0.45;0.16;0.18;0.12;0.05;0.02;0.03;uppsala
381;Enköping;24558;0.23;0.15;0.28;0.21;0.09;0.02;0.02;enkoping
382;Östhammar;10438;0.16;0.12;0.34;0.24;0.10;0.01;0.02;osthammar
428;Vingåker;4134;0.15;0.11;0.31;0.25;0.13;0.03;0.01;vingaker
461;Gnesta;5632;0.23;0.16;0.26;0.20;0.11;0.01;0.03;gnesta
480;Nyköping;28424;0.24;0.16;0.27;0.20;0.08;0.03;0.02;nykoping
481;Oxelösund;5729;0.15;0.15;0.31;0.26;0.09;0.03;0.01;oxelosund
482;Flen;7015;0.17;0.13;0.26;0.25;0.11;0.05;0.03;flen
483;Katrineholm;16549;0.19;0.14;0.29;0.21;0.11;0.05;0.02;katrineholm
484;Eskilstuna;54496;0.24;0.15;0.25;0.21;0.08;0.05;0.02;eskilstuna
486;Strängnäs;19492;0.27;0.15;0.25;0.20;0.09;0.02;0.03;strangnas
488;Trosa;7236;0.25;0.16;0.26;0.20;0.10;0.01;0.03;trosa
509;Ödeshög;2487;0.17;0.13;0.31;0.24;0.10;0.02;0.02;odeshog
512;Ydre;1662;0.19;0.15;0.33;0.23;0.07;0.01;0.02;ydre
513;Kinda;4698;0.22;0.13;0.30;0.22;0.09;0.02;0.02;kinda
