kommun,kommun_normalized,population_2018,population_2022
Ale,ale,30926,32394
Alingsås,alingsas,41070,42199
Alvesta,alvesta,20150,20257
Aneby,aneby,6832,6824
Arboga,arboga,14138,14083
Arjeplog,arjeplog,2794,2667
Arvidsjaur,arvidsjaur,6334,6111
Arvika,arvika,26082,25832
Askersund,askersund,11313,11497
Avesta,avesta,23323,22932
Bengtsfors,bengtsfors,9846,9255
Berg,berg,7097,7176
Bjurholm,bjurholm,2450,2372
Bjuv,bjuv,15501,16062
Boden,boden,28064,28048
Bollebygd,bollebygd,9427,9703
Bollnäs,bollnas,26991,26624
Borgholm,borgholm,10873,10857
Borlänge,borlange,52224,52178
Borås,boras,112178,114445
Botkyrka,botkyrka,93106,95383
Boxholm,boxholm,5449,5498
Bromölla,bromolla,12876,12633
Bräcke,bracke,6376,6162
Burlöv,burlov,18360,19882
Båstad,bastad,14948,15824
Dals-Ed,dals-ed,4806,4650
Danderyd,danderyd,33187,32692
Degerfors,degerfors,9665,9530
Dorotea,dorotea,2568,2413
Eda,eda,8575,8535
Ekerö,ekero,28308,29123
Eksjö,eksjo,17667,17858
Emmaboda,emmaboda,9400,9347
Enköping,enkoping,44429,47848
Eskilstuna,eskilstuna,105924,107918
Eslöv,eslov,33557,34701
Essunga,essunga,5671,5717
Fagersta,fagersta,13464,13341
Falkenberg,falkenberg,44701,47017
Falköping,falkoping,33155,33252
Falun,falun,58923,59818
Filipstad,filipstad,10837,10315
Finspång,finspang,21758,21903
Flen,flen,16705,16058
Forshaga,forshaga,11518,11578
Färgelanda,fargelanda,6602,6512
Gagnef,gagnef,10271,10499
Gislaved,gislaved,29857,29481
Gnesta,gnesta,11237,11612
Gnosjö,gnosjo,9776,9438
Gotland,gotland,59249,61173
Grums,grums,9016,9105
Grästorp,grastorp,5731,5646
Gullspång,gullspang,5293,5194
Gällivare,gallivare,17630,17420
Gävle,gavle,101455,103493
Göteborg,goteborg,571868,596841
Götene,gotene,13232,13275
Habo,habo,12140,13128
Hagfors,hagfors,11698,11589
Hallsberg,hallsberg,15954,16290
Hallstahammar,hallstahammar,16186,16711
Halmstad,halmstad,101268,105148
Hammarö,hammaro,16483,16820
Haninge,haninge,89989,97683
Haparanda,haparanda,9785,9340
Heby,heby,13910,14421
Hedemora,hedemora,15457,15443
Helsingborg,helsingborg,145415,150975
Herrljunga,herrljunga,9494,9517
Hjo,hjo,9176,9243
Hofors,hofors,9602,9472
Huddinge,huddinge,111722,114504
