kommun,kommun_normalized,unemployment_2018,unemployment_2022,unemployment_rate_2018,unemployment_rate_2022
Färgelanda,fargelanda,206,176,132.90,166.04
Lilla Edet,lilla edet,334,334,159.81,155.35
Trollhättan,trollhattan,2745,2634,153.01,146.74
Östersund,ostersund,1714,1474,184.90,174.85
Haninge,haninge,3170,3468,171.63,160.18
Höganäs,hoganas,621,590,163.85,160.76
Mariestad,mariestad,631,533,159.34,166.04
Karlskrona,karlskrona,2515,2002,161.74,153.65
Ragunda,ragunda,198,132,150.00,171.43
Askersund,askersund,239,291,163.70,167.24
Hudiksvall,hudiksvall,1060,1028,197.39,165.54
Degerfors,degerfors,345,329,163.51,159.71
Tanum,tanum,246,247,180.88,172.73
Götene,gotene,305,223,165.76,171.54
Danderyd,danderyd,449,487,192.70,170.88
Leksand,leksand,321,284,175.41,172.12
Övertorneå,overtornea,177,80,229.87,173.91
Kristianstad,kristianstad,3885,3788,162.01,149.02
Alingsås,alingsas,920,942,170.06,167.91
Tibro,tibro,450,366,139.75,140.77
Bollnäs,bollnas,1212,1120,161.82,154.48
Lindesberg,lindesberg,745,708,163.02,164.27
Gävle,gavle,4600,4744,151.47,151.03
Motala,motala,1909,1413,156.09,160.02
Kinda,kinda,213,203,180.51,161.11
Hylte,hylte,506,384,139.01,136.65
Vetlanda,vetlanda,765,680,152.09,158.51
Uddevalla,uddevalla,2266,1965,157.03,157.70
Uppvidinge,uppvidinge,413,328,146.98,138.98
Eslöv,eslov,1321,1242,167.43,146.81
Tjörn,tjorn,195,188,189.32,180.77
Mörbylånga,morbylanga,297,213,173.68,178.99
Nykvarn,nykvarn,203,236,176.52,168.57
Mönsterås,monsteras,511,329,135.19,156.67
Älvkarleby,alvkarleby,425,360,143.10,143.43
Tidaholm,tidaholm,320,236,157.64,161.64
Dorotea,dorotea,73,54,173.81,154.29
Tomelilla,tomelilla,471,388,158.05,159.02
Västerås,vasteras,6225,6441,156.56,153.54
Perstorp,perstorp,397,381,154.47,153.01
Sollentuna,sollentuna,1899,2245,174.06,158.66
Bjuv,bjuv,580,632,172.11,168.53
Tyresö,tyreso,1056,1196,181.44,162.28
Boden,boden,870,709,177.91,163.74
Hultsfred,hultsfred,734,484,138.23,143.62
Svedala,svedala,489,529,161.92,158.86
Lycksele,lycksele,392,310,162.66,162.30
Kungsbacka,kungsbacka,1424,1080,176.67,177.05
Stenungsund,stenungsund,413,453,176.50,174.23
Burlöv,burlov,867,962,155.94,148.69
Kiruna,kiruna,503,311,192.72,200.65
Storfors,storfors,183,118,186.73,161.64
Gällivare,gallivare,371,261,214.45,167.31
Trelleborg,trelleborg,1571,1590,162.29,152.74
Åmål,amal,692,489,142.98,148.18
Salem,salem,402,448,156.42,147.85
Orsa,orsa,193,187,212.09,170.00
Östhammar,osthammar,380,419,158.33,149.64
Älvdalen,alvdalen,177,168,276.56,193.10
Norberg,norberg,207,197,146.81,157.60
Munkfors,munkfors,123,116,157.69,143.21
Sandviken,sandviken,2254,1973,140.79,135.88
Nässjö,nassjo,1240,1186,152.71,162.91
Markaryd,markaryd,414,332,151.65,146.90
Söderköping,soderkoping,292,326,158.70,146.85
Lidingö,lidingo,805,874,174.62,160.07
Sundbyberg,sundbyberg,1580,1909,190.59,158.82
Älmhult,almhult,653,625,153.65,145.01
Arboga,arboga,484,460,148.01,153.85
Nordmaling,nordmaling,240,171,162.16,164.42
Nordanstig,nordanstig,252,254,175.00,149.41
Hagfors,hagfors,319,284,176.24,146.39
Laxå,laxa,179,172,164.22,149.57
Gnesta,gnesta,255,243,150.89,153.80
Torsås,torsas,242,182,152.20,161.06
Skinnskatteberg,skinnskatteberg,113,125,176.56,158.23
Ljusnarsberg,ljusnarsberg,196,157,158.06,167.02
Partille,partille,790,925,177.53,158.12
Timrå,timra,543,661,214.62,152.30
Värmdö,varmdo,826,844,184.79,174.02
