kommun,kommun_normalized,unemployment_2018,unemployment_2022,population_2018,population_2022,unemployment_rate_2018,unemployment_rate_2022
Färgelanda,fargelanda,206,176,6602,6512,3.12,2.70
Lilla Edet,lilla edet,334,334,14046,14428,2.38,2.31
Trollhättan,trollhattan,2745,2634,58728,59274,4.67,4.44
Östersund,ostersund,1714,1474,63227,64714,2.71,2.28
Haninge,haninge,3170,3468,89989,97683,3.52,3.55
Höganäs,hoganas,621,590,26566,28103,2.34,2.10
Mariestad,mariestad,631,533,24372,24768,2.59,2.15
Karlskrona,karlskrona,2515,2002,66675,66682,3.77,3.00
Ragunda,ragunda,198,132,5343,5174,3.71,2.55
Askersund,askersund,239,291,11313,11497,2.11,2.53
Hudiksvall,hudiksvall,1060,1028,37430,37688,2.83,2.73
Degerfors,degerfors,345,329,9665,9530,3.57,3.45
Tanum,tanum,246,247,12873,13013,1.91,1.90
Götene,gotene,305,223,13232,13275,2.31,1.68
Danderyd,danderyd,449,487,33187,32692,1.35,1.49
Leksand,leksand,321,284,15804,16113,2.03,1.76
Övertorneå,overtornea,177,80,4410,4119,4.01,1.94
Kristianstad,kristianstad,3885,3788,84908,86738,4.58,4.37
Alingsås,alingsas,920,942,41070,42199,2.24,2.23
Tibro,tibro,450,366,11168,11399,4.03,3.21
Bollnäs,bollnas,1212,1120,26991,26624,4.49,4.21
Lindesberg,lindesberg,745,708,23575,23435,3.16,3.02
Gävle,gavle,4600,4744,101455,103493,4.53,4.58
Motala,motala,1909,1413,43687,43728,4.37,3.23
Kinda,kinda,213,203,9915,10068,2.15,2.02
Hylte,hylte,506,384,10914,10464,4.64,3.67
Vetlanda,vetlanda,765,680,27504,27673,2.78,2.46
Uddevalla,uddevalla,2266,1965,56259,57282,4.03,3.43
Uppvidinge,uppvidinge,413,328,9581,9418,4.31,3.48
Eslöv,eslov,1321,1242,33557,34701,3.94,3.58
Tjörn,tjorn,195,188,15922,16275,1.22,1.16
Mörbylånga,morbylanga,297,213,15048,15985,1.97,1.33
Nykvarn,nykvarn,203,236,10923,11664,1.86,2.02
Mönsterås,monsteras,511,329,13565,13276,3.77,2.48
Älvkarleby,alvkarleby,425,360,9392,9625,4.53,3.74
Tidaholm,tidaholm,320,236,12828,12839,2.49,1.84
Dorotea,dorotea,73,54,2568,2413,2.84,2.24
Tomelilla,tomelilla,471,388,13557,13812,3.47,2.81
Västerås,vasteras,6225,6441,152078,158653,4.09,4.06
Perstorp,perstorp,397,381,7479,7442,5.31,5.12
Sollentuna,sollentuna,1899,2245,72528,76237,2.62,2.94
Bjuv,bjuv,580,632,15501,16062,3.74,3.93
Tyresö,tyreso,1056,1196,48004,49214,2.20,2.43
Boden,boden,870,709,28064,28048,3.10,2.53
Hultsfred,hultsfred,734,484,14360,14064,5.11,3.44
Svedala,svedala,489,529,21576,23288,2.27,2.27
Lycksele,lycksele,392,310,12228,12243,3.21,2.53
Kungsbacka,kungsbacka,1424,1080,83348,85801,1.71,1.26
Stenungsund,stenungsund,413,453,26503,27870,1.56,1.63
Burlöv,burlov,867,962,18360,19882,4.72,4.84
Kiruna,kiruna,503,311,22992,22423,2.19,1.39
Storfors,storfors,183,118,4055,3882,4.51,3.04
Gällivare,gallivare,371,261,17630,17420,2.10,1.50
Trelleborg,trelleborg,1571,1590,44902,46649,3.50,3.41
Åmål,amal,692,489,12720,12216,5.44,4.00
Salem,salem,402,448,16786,17352,2.39,2.58
Orsa,orsa,193,187,6892,6934,2.80,2.70
Östhammar,osthammar,380,419,22048,22344,1.72,1.88
Älvdalen,alvdalen,177,168,7121,7018,2.49,2.39
Norberg,norberg,207,197,5795,5627,3.57,3.50
Munkfors,munkfors,123,116,3789,3701,3.25,3.13
Sandviken,sandviken,2254,1973,39208,39098,5.75,5.05
Nässjö,nassjo,1240,1186,31477,31944,3.94,3.71
Markaryd,markaryd,414,332,10260,10166,4.04,3.27
Söderköping,soderkoping,292,326,14618,14834,2.00,2.20
Lidingö,lidingo,805,874,47818,48432,1.68,1.80
Sundbyberg,sundbyberg,1580,1909,50564,54070,3.12,3.53
Älmhult,almhult,653,625,17568,18092,3.72,3.45
Arboga,arboga,484,460,14138,14083,3.42,3.27
Nordmaling,nordmaling,240,171,7118,7066,3.37,2.42
Nordanstig,nordanstig,252,254,9517,9487,2.65,2.68
Hagfors,hagfors,319,284,11698,11589,2.73,2.45
Laxå,laxa,179,172,5637,5576,3.18,3.08
Gnesta,gnesta,255,243,11237,11612,2.27,2.09
Torsås,torsas,242,182,7098,7042,3.41,2.58
Skinnskatteberg,skinnskatteberg,113,125,4429,4402,2.55,2.84
Ljusnarsberg,ljusnarsberg,196,157,4846,4517,4.04,3.48
Partille,partille,790,925,38443,39852,2.05,2.32
Timrå,timra,543,661,18060,17754,3.01,3.72
Värmdö,varmdo,826,844,44397,46457,1.86,1.82
Laholm,laholm,736,637,25491,26575,2.89,2.40
Lund,lund,3462,3377,122948,128384,2.82,2.63
Svenljunga,svenljunga,208,233,10683,10816,1.95,2.15
Mellerud,mellerud,431,325,9354,9263,4.61,3.51
Hammarö,hammaro,277,287,16483,16820,1.68,1.71
Vänersborg,vanersborg,1507,1417,39411,39904,3.82,3.55
Skövde,skovde,1719,1382,55729,57463,3.08,2.41
Västervik,vastervik,1326,980,36680,36650,3.62,2.67
Rättvik,rattvik,153,169,10907,11092,1.40,1.52
Upplands-Bro,upplands-bro,812,1203,28756,31853,2.82,3.78
Borlänge,borlange,1885,2098,52224,52178,3.61,4.02
Härnösand,harnosand,1313,1072,25120,24879,5.23,4.31
Vara,vara,332,335,15952,16163,2.08,2.07
Håbo,habo,423,489,21564,22765,1.96,2.15
Vaggeryd,vaggeryd,262,293,13980,14854,1.87,1.97
Vallentuna,vallentuna,462,608,33432,34851,1.38,1.74
Österåker,osteraker,741,904,44831,49138,1.65,1.84
Vaxholm,vaxholm,188,189,12023,11899,1.56,1.59
Åsele,asele,109,80,2819,2782,3.87,2.88
Vingåker,vingaker,353,325,9136,8981,3.86,3.62
Emmaboda,emmaboda,398,308,9400,9347,4.23,3.30
Ydre,ydre,67,61,3743,3683,1.79,1.66
Strömstad,stromstad,293,283,13253,13290,2.21,2.13
Kungsör,kungsor,389,347,8667,8762,4.49,3.96
Katrineholm,katrineholm,1468,1469,34550,34604,4.25,4.25
Karlstad,karlstad,3014,3096,92497,96466,3.26,3.21
Uppsala,uppsala,6128,7576,225164,242140,2.72,3.13
Lerum,lerum,605,693,42137,43536,1.44,1.59
Nybro,nybro,813,609,20350,20303,4.00,3.00
Lessebo,lessebo,634,419,8780,8485,7.22,4.94
Åtvidaberg,atvidaberg,249,248,11537,11506,2.16,2.16
Vimmerby,vimmerby,515,346,15764,15557,3.27,2.22
Hallstahammar,hallstahammar,556,556,16186,16711,3.44,3.33
Flen,flen,944,836,16705,16058,5.65,5.21
Täby,taby,1099,1248,71397,75137,1.54,1.66
Mark,mark,749,636,34781,35329,2.15,1.80
Vilhelmina,vilhelmina,243,155,6752,6393,3.60,2.42
Vårgårda,vargarda,283,289,11658,12268,2.43,2.36
Gullspång,gullspang,204,200,5293,5194,3.85,3.85
Ånge,ange,271,254,9411,9143,2.88,2.78
Malå,mala,67,65,3122,3033,2.15,2.14
Norsjö,norsjo,135,81,4094,3947,3.30,2.05
Göteborg,goteborg,20769,22056,571868,596841,3.63,3.70
Huddinge,huddinge,3648,4164,111722,114504,3.27,3.64
Kävlinge,kavlinge,675,657,31491,32470,2.14,2.02
Sundsvall,sundsvall,3584,3258,98850,99361,3.63,3.28
Alvesta,alvesta,741,776,20150,20257,3.68,3.83
Ekerö,ekero,389,433,28308,29123,1.37,1.49
Mölndal,molndal,1238,1325,68152,70109,1.82,1.89
Tingsryd,tingsryd,440,376,12407,12297,3.55,3.06
Härjedalen,harjedalen,277,189,10147,10185,2.73,1.86
Ovanåker,ovanaker,307,324,11684,11622,2.63,2.79
Karlsborg,karlsborg,203,116,6941,7057,2.92,1.64
Järfälla,jarfalla,2797,3431,78480,85460,3.56,4.01
Sunne,sunne,270,341,13261,13418,2.04,2.54
Köping,koping,1025,971,26268,26120,3.90,3.72
